player_id,player,position,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_yac,rec_yac,rec_drops
BradGa00,Garrett Bradbury,C,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,21,0,21,0,0,24,0
WilkCh00,Christian Wilkins,DT,MIA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,1,1,0,0,0,0
BellNi01,Nick Bellore,LB,SEA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,4,0,4,0,0,4,0
FejeCl00,Clayton Fejedelem ,SS,MIA,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0
ChanSe00,Sean Chandler,SS,CAR,0,0,0,0,0,0,0,0,0.0,1,14,0,14,0,0,0,0,0,0,0,0,0
PintDa00,Danny Pinter,G,IND,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,2,1,2,0,0,0,0
BoswCh00,Chris Boswell,K,PIT,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0
CrosKe00,Keion Crossen,CB,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
CampTe00,Tevaughn Campbell,CB,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
SmitTr04,Tremon Smith,CB,HOU,0,0,0,0,0,0,0,0,0.0,1,7,0,7,0,0,0,0,0,0,2,0,0
HookAm00,Amani Hooker,FS,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,6,0,6,0,0,2,0
WingAn01,Andrew Wingard,FS,JAX,0,0,0,0,0,0,0,0,0.0,1,4,0,4,0,0,0,0,0,0,1,0,0
PricBo00,Bobby Price,FS,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,17,0,17,0,0,8,0
MoorCJ01,C.J. Moore,FS,DET,0,0,0,0,0,0,0,0,0.0,1,28,0,28,0,0,0,0,0,0,0,0,0
BanjCh00,Chris Banjo,FS,ARI,1,1,23,0,0,0,0,23,118.7,0,0,0,0,0,0,0,0,0,0,0,0,0
LeavDa00,Dallin Leavitt,FS,LVR,0,0,0,0,0,0,0,0,0.0,2,6,0,4,0,0,0,0,0,0,1,0,0
FarlMa00,Matthias Farley,FS,TEN,1,1,6,0,0,0,0,6,91.7,0,0,0,0,0,0,0,0,0,0,0,0,0
LeexAn20,Andy Lee,P,ARI,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0
GillBl00,Blake Gillikin,P,NOR,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0
MannBr01,Braden Mann,P,NYJ,0,0,0,0,0,0,0,0,0.0,1,4,0,4,0,0,0,0,0,0,2,0,0
FoxxJa01,Jack Fox,P,DET,2,3,38,0,0,0,0,21,92.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
GillJa00,Jamie Gillan,P,CLE,0,0,0,0,0,0,0,0,0.0,1,0,0,-8,0,0,0,0,0,0,0,0,0
HekkJo00,Johnny Hekker,P,LAR,1,1,2,0,0,0,0,2,39.6,1,0,0,0,0,0,0,0,0,1,0,0,0
PalaMi00,Michael Palardy,P,MIA,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0
DixoRi00,Riley Dixon,P,NYG,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0
KochSa20,Sam Koch,P,BAL,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0
TownTo01,Tommy Townsend,P,KAN,1,1,16,0,0,0,0,16,118.7,0,0,0,0,0,0,0,0,0,0,0,0,0
LongTy00,Ty Long,P,LAC,0,1,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0
ThomAn02,Andrew Thomas,T,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,2,1,2,0,0,0,0
McDeCo00,Conor McDermott,T,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,1,1,1,0,0,0,0
DawkDi00,Dion Dawkins,T,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
JohnLa01,Lane Johnson,T,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,5,1,5,0,0,0,0
NelsMa00,Matt Nelson,T,DET,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0
